brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
HAIMER,shrink_fit,.06,BT30,6,6,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.08,BT30,8,8,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.10,BT30,10,10,32,,42,haimer-holder-catalog
HAIMER,shrink_fit,.12,BT30,12,12,32,,47,haimer-holder-catalog
HAIMER,shrink_fit,.14,BT30,14,14,34,,47,haimer-holder-catalog
HAIMER,shrink_fit,.16,BT30,16,16,34,,50,haimer-holder-catalog
HAIMER,shrink_fit,.20,BT30,20,20,40.5,,52,haimer-holder-catalog
HAIMER,shrink_fit,.1/4Z.4,BT40,6.35,6.35,26.92,160.02,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.5/16Z.4,BT40,7.94,7.94,26.92,160.02,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.3/8Z.4,BT40,9.52,9.52,32,160.02,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.7/16Z.4,BT40,11.11,11.11,32,160.02,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.1/2Z.4,BT40,12.7,12.7,32,160.02,46.99,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-BT40-shrink_fit-3.0,BT40,3,3,10,,9,haimer-holder-catalog
HAIMER,shrink_fit,.06,BT40,6,6,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.08,BT40,8,8,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.10,BT40,10,10,32,,42,haimer-holder-catalog
HAIMER,shrink_fit,.12,BT40,12,12,32,,47,haimer-holder-catalog
HAIMER,shrink_fit,.14,BT40,14,14,34,,47,haimer-holder-catalog
HAIMER,shrink_fit,––,BT40,7.94,7.94,22.1,70.1,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.04.8,BT40,4,4,10,,80,haimer-holder-catalog
HAIMER,shrink_fit,.05.8,BT40,5,5,11,,80,haimer-holder-catalog
HAIMER,shrink_fit,.1/4Z.4,BT50,6.35,6.35,26.92,100.08,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.5/16Z.,BT50,7.94,7.94,26.92,100.08,36.07,haimer-holder-catalog
HAIMER,shrink_fit,4 .3/8Z.4,BT50,9.52,9.52,32,100.08,41.91,haimer-holder-catalog
HAIMER,shrink_fit,––,BT50,19.76,19.76,55.12,100.08,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.1z.67,BT50,25.4,25.4,72.14,104.9,57.91,haimer-holder-catalog
HAIMER,shrink_fit,.03,SK30,3,3,10,,9,haimer-holder-catalog
HAIMER,shrink_fit,.04,SK30,4,4,10,,12,haimer-holder-catalog
HAIMER,shrink_fit,.05,SK30,5,5,10,,15,haimer-holder-catalog
HAIMER,shrink_fit,.06,SK30,6,6,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.08,SK30,8,8,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.10,SK30,10,10,32,,42,haimer-holder-catalog
HAIMER,shrink_fit,.12,SK30,12,12,32,,47,haimer-holder-catalog
HAIMER,shrink_fit,.16,SK30,16,16,34,,50,haimer-holder-catalog
HAIMER,shrink_fit,.20,SK30,20,20,40.5,,52,haimer-holder-catalog
HAIMER,shrink_fit,.08,SK40,8,8,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.10,SK40,10,10,32,,42,haimer-holder-catalog
HAIMER,shrink_fit,.12,SK40,12,12,32,,47,haimer-holder-catalog
HAIMER,shrink_fit,.14,SK40,14,14,34,,47,haimer-holder-catalog
HAIMER,shrink_fit,.16,SK40,16,16,34,,50,haimer-holder-catalog
HAIMER,shrink_fit,.18,SK40,18,18,42,,50,haimer-holder-catalog
HAIMER,shrink_fit,.20,SK40,20,20,42,,52,haimer-holder-catalog
HAIMER,shrink_fit,.25,SK40,25,25,53,,58,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-SK40-shrink_fit-32.0,SK40,32,32,53,,58,haimer-holder-catalog
HAIMER,shrink_fit,.03,SK40,3,3,10,,9,haimer-holder-catalog
HAIMER,shrink_fit,5 .06.2,SK40,6,6,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.04.10,SK40,4,4,9,,,haimer-holder-catalog
HAIMER,shrink_fit,.05.10,SK40,5,5,9,,,haimer-holder-catalog
HAIMER,shrink_fit,.03,SK40,3,3,9,120,,haimer-holder-catalog
HAIMER,shrink_fit,.04,SK40,4,4,10,120,,haimer-holder-catalog
HAIMER,shrink_fit,.05,SK40,5,5,11,120,,haimer-holder-catalog
HAIMER,shrink_fit,.06,SK40,6,6,12,120,,haimer-holder-catalog
HAIMER,shrink_fit,.08,SK40,8,8,14,120,,haimer-holder-catalog
HAIMER,shrink_fit,.10,SK40,10,10,16,120,,haimer-holder-catalog
HAIMER,shrink_fit,.12,SK40,12,12,18,120,,haimer-holder-catalog
HAIMER,shrink_fit,.16,SK40,16,16,22,120,,haimer-holder-catalog
HAIMER,shrink_fit,.40.6,SK40,40,40,94,,88,haimer-holder-catalog
HAIMER,shrink_fit,.50.6,SK40,50,50,94,,88,haimer-holder-catalog
HAIMER,shrink_fit,.03,HSK-A125,3,3,10,,9,haimer-holder-catalog
HAIMER,shrink_fit,.04,HSK-A125,4,4,10,,12,haimer-holder-catalog
HAIMER,shrink_fit,.05,HSK-A125,5,5,10,,15,haimer-holder-catalog
HAIMER,shrink_fit,.06,HSK-A125,6,6,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.08,HSK-A125,8,8,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,.10,HSK-A125,10,10,32,,42,haimer-holder-catalog
HAIMER,shrink_fit,.1/8Z,HSK-A125,3.17,3.17,9.91,59.97,8.89,haimer-holder-catalog
HAIMER,shrink_fit,.3/16Z,HSK-A125,4.76,4.76,9.91,59.97,14.99,haimer-holder-catalog
HAIMER,shrink_fit,.1/4Z,HSK-A125,6.35,6.35,26.92,80.01,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.3/8Z,HSK-A125,9.52,9.52,32,80.01,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.7/16Z,HSK-A125,11.11,11.11,32,80.01,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.1/2Z,HSK-A125,12.7,12.7,32,89.92,46.99,haimer-holder-catalog
HAIMER,shrink_fit,.5/8Z,HSK-A125,15.88,15.88,33.02,89.92,50.04,haimer-holder-catalog
HAIMER,shrink_fit,.12,HSK-A125,12,12,32,,47,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A125-shrink_fit-14.0,HSK-A125,14,14,34,,47,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A125-shrink_fit-16.0,HSK-A125,16,16,34,,50,haimer-holder-catalog
HAIMER,shrink_fit,.22.KKB,HSK-A125,22,22,48,,19,haimer-holder-catalog
HAIMER,shrink_fit,—,HSK-A125,27,27,60,,21,haimer-holder-catalog
HAIMER,shrink_fit,—,HSK-A125,32,32,78,,24,haimer-holder-catalog
HAIMER,shrink_fit,.3/8Z.4,HSK-A125,9.52,9.52,32,160.02,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.7/16Z.4,HSK-A125,11.11,11.11,32,160.02,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.1/2Z.4,HSK-A125,12.7,12.7,32,160.02,46.99,haimer-holder-catalog
HAIMER,shrink_fit,.5/8Z.4,HSK-A125,15.88,15.88,34.04,160.02,50.04,haimer-holder-catalog
HAIMER,shrink_fit,.3/4Z.4,HSK-A125,19.05,19.05,41.91,160.02,52.07,haimer-holder-catalog
HAIMER,shrink_fit,.1Z.4,HSK-A125,25.4,25.4,53.09,160.02,57.91,haimer-holder-catalog
HAIMER,shrink_fit,.3/8Z.47,HSK-A125,9.52,9.52,32,85.14,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.1/2Z.47,HSK-A125,12.7,12.7,32,89.97,46.99,haimer-holder-catalog
HAIMER,shrink_fit,.5/8Z.47,HSK-A125,15.88,15.88,34.04,95.05,50.04,haimer-holder-catalog
HAIMER,shrink_fit,.3/4Z.47,HSK-A125,19.05,19.05,41.91,100.13,52.07,haimer-holder-catalog
HAIMER,shrink_fit,.1Z.47,HSK-A125,25.4,25.4,53.09,115.11,57.91,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A125-shrink_fit-30.0,HSK-A125,30,30,101,,91,haimer-holder-catalog
HAIMER,shrink_fit,.18,HSK-A125,18,18,42,,50,haimer-holder-catalog
HAIMER,shrink_fit,.20,HSK-A125,20,20,42,,52,haimer-holder-catalog
HAIMER,shrink_fit,.25,HSK-A125,25,25,53,,58,haimer-holder-catalog
HAIMER,shrink_fit,.06.37,HSK-A125,6,6,53,160,36,haimer-holder-catalog
HAIMER,shrink_fit,.08.37,HSK-A125,8,8,53,160,36,haimer-holder-catalog
HAIMER,shrink_fit,12.37,HSK-A125,2,2,4,60,7,haimer-holder-catalog
HAIMER,shrink_fit,.14.3,HSK-A125,14,14,53,160,47,haimer-holder-catalog
HAIMER,shrink_fit,7 .16.37,HSK-A125,16,16,53,160,50,haimer-holder-catalog
HAIMER,shrink_fit,.18.37,HSK-A125,18,18,53,160,50,haimer-holder-catalog
HAIMER,shrink_fit,.20.37,HSK-A125,20,20,53,160,52,haimer-holder-catalog
HAIMER,shrink_fit,.25.37,HSK-A125,25,25,53,160,58,haimer-holder-catalog
HAIMER,shrink_fit,.32.37,HSK-A125,32,32,53,160,58,haimer-holder-catalog
HAIMER,shrink_fit,.5/8z.67,HSK-A125,15.88,15.88,45.97,85.09,51.05,haimer-holder-catalog
HAIMER,shrink_fit,.3/4z.67,HSK-A125,19.05,19.05,45.97,85.09,52.83,haimer-holder-catalog
HAIMER,shrink_fit,.16.67,HSK-A125,16,16,46,85,51,haimer-holder-catalog
HAIMER,shrink_fit,.20.67,HSK-A125,20,20,46,85,53,haimer-holder-catalog
HAIMER,shrink_fit,.03,HSK-A125,3,3,,120,,haimer-holder-catalog
HAIMER,shrink_fit,.04,HSK-A125,4,4,,120,,haimer-holder-catalog
HAIMER,shrink_fit,.05,HSK-A125,5,5,,120,,haimer-holder-catalog
HAIMER,shrink_fit,.06,HSK-A125,6,6,,120,,haimer-holder-catalog
HAIMER,shrink_fit,.08,HSK-A125,8,8,,120,,haimer-holder-catalog
HAIMER,shrink_fit,.10,HSK-A125,10,10,,120,68,haimer-holder-catalog
HAIMER,shrink_fit,.12,HSK-A125,12,12,,120,75,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-3.0,HSK-A63,3,3,9,160,80,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-4.0,HSK-A63,4,4,10,160,80,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-5.0,HSK-A63,5,5,11,160,80,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-6.0,HSK-A63,6,6,12,160,80,haimer-holder-catalog
