tool_id,brand,tool_type,material,source_file
AMPC-151A-.801,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.859,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.890,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.921,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-0023,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-0024,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-0025,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-0026,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-0027,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-0028,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-0029,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-0030,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-18,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-18.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-19,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-19.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-20,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-20.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-21,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-21.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-22,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-22.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-23,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-23.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-24,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-.7580,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-.765,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-0025,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-0026,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-0028,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-0030,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-18,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-21,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-22,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-24,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151H-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-.703,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-.734,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-.765,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-.796,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
