holder_id,vendor,holder_type,taper,gauge_length_in,body_diameter_in,max_rpm,runout_um
C6-MEGA6S-120T,big_daishowa,collet_chuck,Capto-C6,4.7244,,22000,3
BBT30-MEGA6N-60,big_daishowa,collet_chuck,BBT30,2.3622,,40000,3
BBT30-MEGA10N-60,big_daishowa,collet_chuck,BBT30,2.3622,,40000,3
BBT30-MEGA16N-60,big_daishowa,collet_chuck,BBT30,2.3622,,35000,3
BBT30-MEGA20N-60,big_daishowa,collet_chuck,BBT30,2.3622,,30000,3
BBT40-MEGA6N-60,big_daishowa,collet_chuck,BBT40,2.3622,,35000,3
BBT40-MEGA10N-60,big_daishowa,collet_chuck,BBT40,2.3622,,35000,3
BBT40-MEGA16N-60,big_daishowa,collet_chuck,BBT40,2.3622,,35000,3
BBT40-MEGA20N-60,big_daishowa,collet_chuck,BBT40,2.3622,,35000,3
BBT40-MEGA25N-75,big_daishowa,collet_chuck,BBT40,2.9528,,20000,3
BBT50-MEGA6N-90,big_daishowa,collet_chuck,BBT50,3.5433,,20000,3
C4-MEGA6N-75,big_daishowa,collet_chuck,Capto-C4,2.9528,,30000,3
C5-MEGA6N-60,big_daishowa,collet_chuck,Capto-C5,2.3622,,35000,3
C6-MEGA10N-60,big_daishowa,collet_chuck,Capto-C6,2.3622,,35000,3
C8-MEGA13N-90,big_daishowa,collet_chuck,Capto-C8,3.5433,,20000,3
BBT30-MEGA6E-60,big_daishowa,collet_chuck,BBT30,2.3622,,40000,3
BBT30-MEGA13E-60,big_daishowa,collet_chuck,BBT30,2.3622,,40000,3
BBT40-MEGA6E-60,big_daishowa,collet_chuck,BBT40,2.3622,,35000,3
BBT40-MEGA13E-60,big_daishowa,collet_chuck,BBT40,2.3622,,30000,3
HSK-A63-MEGA6E-75,big_daishowa,collet_chuck,HSK-A63,2.9528,,32000,3
HSK-A63-MEGA13E-75,big_daishowa,collet_chuck,HSK-A63,2.9528,,28000,3
C5-MEGA8E-55,big_daishowa,collet_chuck,Capto-C5,2.1654,,35000,3
C6-MEGA13E-65,big_daishowa,collet_chuck,Capto-C6,2.5591,,30000,3
BBT30-MEGAER16-60,big_daishowa,collet_chuck,BBT30,2.3622,,35000,3
BBT40-MEGAER16-60,big_daishowa,collet_chuck,BBT40,2.3622,,35000,3
BBT40-MEGAER32-75,big_daishowa,collet_chuck,BBT40,2.9528,,25000,3
HSK-A63-MEGAER32-90,big_daishowa,collet_chuck,HSK-A63,3.5433,,25000,3
BBT30-MEGA12DS-58,big_daishowa,power_chuck,BBT30,2.2835,,30000,3
BBT30-MEGA20DS-65,big_daishowa,power_chuck,BBT30,2.5591,,25000,3
BBT40-MEGA16DS-75A,big_daishowa,power_chuck,BBT40,2.9528,,30000,3
BBT40-MEGA20DS-75A,big_daishowa,power_chuck,BBT40,2.9528,,30000,3
BBT40-MEGA25DS-75A,big_daishowa,power_chuck,BBT40,2.9528,,27000,3
BBT40-MEGA32DS-90A,big_daishowa,power_chuck,BBT40,3.5433,,26000,3
BBT50-MEGA20DS-105,big_daishowa,power_chuck,BBT50,4.1339,,20000,3
BBT50-MEGA32DS-105,big_daishowa,power_chuck,BBT50,4.1339,,20000,3
BBT50-MEGA42DS-105,big_daishowa,power_chuck,BBT50,4.1339,,15000,3
BBT50-MEGA50DS-120,big_daishowa,power_chuck,BBT50,4.7244,,13000,3
HSK-A63-MEGA16DS-75,big_daishowa,power_chuck,HSK-A63,2.9528,,30000,3
HSK-A63-MEGA20DS-75,big_daishowa,power_chuck,HSK-A63,2.9528,,30000,3
HSK-A100-MEGA20DS-105,big_daishowa,power_chuck,HSK-A100,4.1339,,20000,3
HSK-A100-MEGA32DS-105,big_daishowa,power_chuck,HSK-A100,4.1339,,20000,3
C5-MEGA16DS-65A,big_daishowa,power_chuck,Capto-C5,2.5591,,30000,3
C6-MEGA20DS-75A,big_daishowa,power_chuck,Capto-C6,2.9528,,30000,3
BBT40-MEGA16DPG-75,big_daishowa,milling_chuck,BBT40,2.9528,,30000,3
BBT40-MEGA20DPG-100,big_daishowa,milling_chuck,BBT40,3.937,,30000,3
BBT50-MEGA25DPG-105,big_daishowa,milling_chuck,BBT50,4.1339,,20000,3
BBT50-MEGA32DPG-105,big_daishowa,milling_chuck,BBT50,4.1339,,20000,3
HSK-A63-MEGA16DPG-90,big_daishowa,milling_chuck,HSK-A63,3.5433,,28000,3
HSK-A63-MEGA20DPG-100,big_daishowa,milling_chuck,HSK-A63,3.937,,25000,3
HSK-A100-MEGA25DPG-105,big_daishowa,milling_chuck,HSK-A100,4.1339,,20000,3
HSK-A100-MEGA32DPG-115,big_daishowa,milling_chuck,HSK-A100,4.5276,,18000,3
BBT30-HMC16S-70,big_daishowa,milling_chuck,BBT30,2.7559,,30000,5
BBT30-HMC25S-90,big_daishowa,milling_chuck,BBT30,3.5433,,25000,5
BBT40-HMC20S-75,big_daishowa,milling_chuck,BBT40,2.9528,,30000,5
BBT40-HMC25S-75,big_daishowa,milling_chuck,BBT40,2.9528,,28000,5
BBT40-HMC32S-90,big_daishowa,milling_chuck,BBT40,3.5433,,26000,5
BBT50-HMC20S-105,big_daishowa,milling_chuck,BBT50,4.1339,,20000,5
BBT50-HMC32S-105,big_daishowa,milling_chuck,BBT50,4.1339,,20000,5
HSK-A63-HMC20S-90,big_daishowa,milling_chuck,HSK-A63,3.5433,,30000,5
HSK-A63-HMC25S-100,big_daishowa,milling_chuck,HSK-A63,3.937,,28000,5
HSK-A63-HMC32S-110,big_daishowa,milling_chuck,HSK-A63,4.3307,,25000,5
HSK-A100-HMC20S-105,big_daishowa,milling_chuck,HSK-A100,4.1339,,20000,5
HSK-A100-HMC32S-115,big_daishowa,milling_chuck,HSK-A100,4.5276,,20000,5
HSK-A100-HMC42S-115,big_daishowa,milling_chuck,HSK-A100,4.5276,,18000,5
BBT30-HDC3S-60,big_daishowa,hydraulic,BBT30,2.3622,,35000,3
BBT30-HDC6S-60,big_daishowa,hydraulic,BBT30,2.3622,,35000,3
BBT30-HDC12S-90,big_daishowa,hydraulic,BBT30,3.5433,,35000,3
BBT40-HDC6S-110,big_daishowa,hydraulic,BBT40,4.3307,,30000,3
BBT40-HDC10S-110,big_daishowa,hydraulic,BBT40,4.3307,,30000,3
BBT40-HDC12S-110,big_daishowa,hydraulic,BBT40,4.3307,,30000,3
BBT50-HDC6S-150,big_daishowa,hydraulic,BBT50,5.9055,,20000,3
BBT50-HDC12S-150,big_daishowa,hydraulic,BBT50,5.9055,,20000,3
HSK-A40-HDC6S-75,big_daishowa,hydraulic,HSK-A40,2.9528,,40000,3
HSK-A40-HDC12S-80,big_daishowa,hydraulic,HSK-A40,3.1496,,35000,3
HSK-A63-HDC6S-120,big_daishowa,hydraulic,HSK-A63,4.7244,,30000,3
HSK-A63-HDC12S-120,big_daishowa,hydraulic,HSK-A63,4.7244,,30000,3
HSK-A100-HDC6S-150,big_daishowa,hydraulic,HSK-A100,5.9055,,20000,3
HSK-A100-HDC12S-150,big_daishowa,hydraulic,HSK-A100,5.9055,,20000,3
BBT40-HDC.250-2.5,big_daishowa,hydraulic,BBT40,2.5,,40000,3
BBT40-HDC.500-2.5,big_daishowa,hydraulic,BBT40,2.5,,40000,3
BBT40-HDC.750-3,big_daishowa,hydraulic,BBT40,3,,40000,3
BBT40-HDC1.000-3,big_daishowa,hydraulic,BBT40,3,,35000,3
BBT40-HDC1.250-3.5,big_daishowa,hydraulic,BBT40,3.5,,30000,3
HSK-A63-HDC6J-90,big_daishowa,hydraulic,HSK-A63,3.5433,,30000,3
HSK-A63-HDC12J-90,big_daishowa,hydraulic,HSK-A63,3.5433,,30000,3
HSK-A63-HDC20J-120,big_daishowa,hydraulic,HSK-A63,4.7244,,25000,3
HSK-A63-HDC32J-120,big_daishowa,hydraulic,HSK-A63,4.7244,,20000,3
BCV40-SFC.250-3.5,big_daishowa,shrink_fit,CAT40,3.5,,40000,3
BCV40-SFC.500-3.5,big_daishowa,shrink_fit,CAT40,3.5,,35000,3
BCV40-SFC.750-4,big_daishowa,shrink_fit,CAT40,4,,30000,3
BCV40-SFC1.000-4,big_daishowa,shrink_fit,CAT40,4,,25000,3
BCV50-SFC.500-4,big_daishowa,shrink_fit,CAT50,4,,20000,3
BCV50-SFC1.000-4,big_daishowa,shrink_fit,CAT50,4,,15000,3
BCV50-SFC1.250-4,big_daishowa,shrink_fit,CAT50,4,,12000,3
BBT30-SRC6-75,big_daishowa,shrink_fit,BBT30,2.9528,,40000,3
BBT30-SRC10-75,big_daishowa,shrink_fit,BBT30,2.9528,,35000,3
BBT30-SRC12-75,big_daishowa,shrink_fit,BBT30,2.9528,,30000,3
BBT40-SRC6-90,big_daishowa,shrink_fit,BBT40,3.5433,,35000,3
BBT40-SRC10-90,big_daishowa,shrink_fit,BBT40,3.5433,,30000,3
BBT40-SRC12-90,big_daishowa,shrink_fit,BBT40,3.5433,,28000,3
BBT40-SRC16-90,big_daishowa,shrink_fit,BBT40,3.5433,,25000,3
BBT40-SRC20-90,big_daishowa,shrink_fit,BBT40,3.5433,,22000,3
BBT30-SFC.250-3,big_daishowa,shrink_fit,BBT30,3,,40000,3
BBT30-SFC.500-3,big_daishowa,shrink_fit,BBT30,3,,35000,3
BBT40-SFC.500-3.5,big_daishowa,shrink_fit,BBT40,3.5,,30000,3
BBT40-SFC.750-4,big_daishowa,shrink_fit,BBT40,4,,25000,3
BBT40-SFC1.000-4,big_daishowa,shrink_fit,BBT40,4,,20000,3
BBT30-SRC6S-105,big_daishowa,shrink_fit,BBT30,4.1339,,35000,3
BBT30-SRC12S-105,big_daishowa,shrink_fit,BBT30,4.1339,,30000,3
BBT40-SRC6S-120,big_daishowa,shrink_fit,BBT40,4.7244,,30000,3
BBT40-SRC12S-120,big_daishowa,shrink_fit,BBT40,4.7244,,25000,3
HSK-A63-SRC6-90,big_daishowa,shrink_fit,HSK-A63,3.5433,,30000,3
HSK-A63-SRC10-90,big_daishowa,shrink_fit,HSK-A63,3.5433,,28000,3
HSK-A63-SRC12-90,big_daishowa,shrink_fit,HSK-A63,3.5433,,25000,3
HSK-A63-SRC16-90,big_daishowa,shrink_fit,HSK-A63,3.5433,,22000,3
HSK-A63-SRC20-90,big_daishowa,shrink_fit,HSK-A63,3.5433,,20000,3
HSK-A63-SRC6S-120,big_daishowa,shrink_fit,HSK-A63,4.7244,,28000,3
HSK-A63-SRC12S-120,big_daishowa,shrink_fit,HSK-A63,4.7244,,22000,3
HAIMER-CAT40-shrink_fit-3.0,haimer,shrink_fit,CAT40,,0.3937,,
HAIMER-CAT40-shrink_fit-4.0,haimer,shrink_fit,CAT40,,0.3937,,
.12.4,haimer,shrink_fit,CAT40,6.2992,1.2598,,
.14.4,haimer,shrink_fit,CAT40,6.2992,1.3386,,
.16.4,haimer,shrink_fit,CAT40,6.2992,1.3386,,
.20.4,haimer,shrink_fit,CAT40,6.2992,1.6535,,
.25.4,haimer,shrink_fit,CAT40,6.2992,2.0866,,
HAIMER-CAT40-shrink_fit-32.0,haimer,shrink_fit,CAT40,,2.0866,,
.06.47,haimer,shrink_fit,CAT40,3.1496,1.063,,
.16.47,haimer,shrink_fit,CAT40,3.1496,1.3386,,
.20.47,haimer,shrink_fit,CAT40,3.1496,1.6535,,
.25.47,haimer,shrink_fit,CAT40,3.937,2.0866,,
.32.47,haimer,shrink_fit,CAT40,3.937,2.0866,,
7 .3/8z.37,haimer,shrink_fit,CAT40,6.3,1.75,,
.1/2z.37,haimer,shrink_fit,CAT40,6.3,1.75,,
.5/8z.37,haimer,shrink_fit,CAT40,6.3,1.75,,
.3/4z.37,haimer,shrink_fit,CAT40,6.3,1.75,,
.10.37,haimer,shrink_fit,CAT40,6.2992,1.75,,
.1/8z.8,haimer,shrink_fit,CAT40,7.8701,0.35,,
.3/16z.8,haimer,shrink_fit,CAT40,7.8701,0.4299,,
.3/8z.8,haimer,shrink_fit,CAT40,7.8701,0.6299,,
.1/2z.8,haimer,shrink_fit,CAT40,7.8701,0.7098,,
––,haimer,shrink_fit,CAT40,7.8701,0.95,,
––,haimer,shrink_fit,CAT40,3.9402,0.35,,
––,haimer,shrink_fit,CAT40,3.9402,0.4299,,
––,haimer,shrink_fit,CAT40,3.9402,0.4701,,
––,haimer,shrink_fit,CAT40,3.9402,0.6299,,
.0033,haimer,shrink_fit,CAT40,3.15,0.8098,,
.03.8,haimer,shrink_fit,CAT40,7.874,0.3543,,
.04.8,haimer,shrink_fit,CAT40,7.874,0.3937,,
.05.8,haimer,shrink_fit,CAT40,7.874,0.4331,,
.06.8,haimer,shrink_fit,CAT40,7.874,0.4724,,
.08.8,haimer,shrink_fit,CAT40,7.874,0.5512,,
.10.8,haimer,shrink_fit,CAT40,7.874,0.6299,,
.12.8,haimer,shrink_fit,CAT40,7.874,0.7087,,
––,haimer,shrink_fit,CAT40,7.874,0.9449,,
.2.08,haimer,shrink_fit,CAT40,3.937,0.3937,,
.2.09,haimer,shrink_fit,CAT40,3.937,0.4724,,
.1/4Z.4,haimer,shrink_fit,CAT50,6.3,1.0598,,
.5/16Z.4,haimer,shrink_fit,CAT50,6.3,1.0598,,
.3/8Z.4,haimer,shrink_fit,CAT50,6.3,1.2598,,
.5/8Z.4,haimer,shrink_fit,CAT50,6.3,1.3402,,
.3/4Z.4,haimer,shrink_fit,CAT50,6.3,1.65,,
.7/8Z.4,haimer,shrink_fit,CAT50,6.3,1.65,,
.1Z.4,haimer,shrink_fit,CAT50,6.3,2.0902,,
.06.4,haimer,shrink_fit,CAT50,6.2992,1.063,,
.08.4,haimer,shrink_fit,CAT50,6.2992,1.063,,
.10.4,haimer,shrink_fit,CAT50,6.2992,1.2598,,
.16.4,haimer,shrink_fit,CAT50,6.2992,1.3386,,
HAIMER-CAT50-shrink_fit-18.0,haimer,shrink_fit,CAT50,,1.6535,,
.20.4,haimer,shrink_fit,CAT50,6.2992,1.6535,,
.25.4,haimer,shrink_fit,CAT50,6.2992,2.0866,,
.32.4,haimer,shrink_fit,CAT50,6.2992,2.0866,,
.3/8z.37,haimer,shrink_fit,CAT50,7.8701,2.75,,
.1/2z.37,haimer,shrink_fit,CAT50,7.8701,2.75,,
.5/8z.37,haimer,shrink_fit,CAT50,7.8701,2.75,,
.3/4z.37,haimer,shrink_fit,CAT50,7.8701,2.75,,
.1z.37,haimer,shrink_fit,CAT50,7.8701,2.75,,
.06.37,haimer,shrink_fit,CAT50,7.874,2.75,,
.08.3,haimer,shrink_fit,CAT50,7.874,2.75,,
7 .10.37,haimer,shrink_fit,CAT50,7.874,2.75,,
.12.37,haimer,shrink_fit,CAT50,7.874,2.75,,
.14.37,haimer,shrink_fit,CAT50,7.874,2.75,,
.16.37,haimer,shrink_fit,CAT50,7.874,2.75,,
.18.37,haimer,shrink_fit,CAT50,7.874,2.75,,
.20.37,haimer,shrink_fit,CAT50,7.874,2.75,,
.25.37,haimer,shrink_fit,CAT50,7.874,2.75,,
.5/8z.67,haimer,shrink_fit,CAT50,3.15,2.0098,,
.3/4z.67,haimer,shrink_fit,CAT50,3.35,2.6402,,
.1z.67,haimer,shrink_fit,CAT50,3.5402,2.4799,,
.32.6.32.67,haimer,shrink_fit,CAT50,7.874,3.3465,,
.40.6.40.67,haimer,shrink_fit,CAT50,7.874,3.7008,,
.50.6.50.67,haimer,shrink_fit,CAT50,7.874,3.7008,,
.3/4Z .,haimer,shrink_fit,CAT50,3.9429,1.7118,,
HAIMER-CAT40-shrink_fit-3.17,haimer,shrink_fit,CAT40,3.1512,0.3902,,
HAIMER-CAT40-shrink_fit-4.76,haimer,shrink_fit,CAT40,3.1512,0.3902,,
.5/8Z.4,haimer,shrink_fit,CAT40,3.15,1.3402,,
.3/4Z.4,haimer,shrink_fit,CAT40,3.15,1.65,,
.7/8Z.4,haimer,shrink_fit,CAT40,3.15,1.65,,
.1Z.4,haimer,shrink_fit,CAT40,3.9402,2.0902,,
.1/4z.3—,haimer,shrink_fit,CAT40,2.5598,0.8701,,
.5/16z.3—,haimer,shrink_fit,CAT40,2.5598,0.8701,,
.3/8z.3—,haimer,shrink_fit,CAT40,2.5598,1.0402,,
.1/2z.3.1/2z.37,haimer,shrink_fit,CAT40,2.5598,1.0402,,
.5/8z.3.5/8z.37,haimer,shrink_fit,CAT40,2.5598,1.1598,,
.3/4z.3.3/4z.37,haimer,shrink_fit,CAT40,2.5598,1.4,,
.1z.3.1z.37,haimer,shrink_fit,CAT40,2.95,1.7902,,
.1/2Z.4,haimer,shrink_fit,CAT50,6.3,1.2598,,
––,haimer,shrink_fit,CAT50,3.15,2.6799,,
.3/4z.37,haimer,shrink_fit,CAT50,3.15,1.7598,,
.1z.37,haimer,shrink_fit,CAT50,3.9402,1.7299,,
.1/8Z,haimer,shrink_fit,BT30,3.1512,0.3902,,
.5/16Z.4,haimer,shrink_fit,BT30,3.15,1.0598,,
.3/8Z.4,haimer,shrink_fit,BT30,3.15,1.2598,,
.7/16Z.4,haimer,shrink_fit,BT30,3.15,1.2598,,
.1/2Z.4,haimer,shrink_fit,BT30,3.15,1.2598,,
.5/8Z.4,haimer,shrink_fit,BT30,3.15,1.3402,,
.3/4Z.4,haimer,shrink_fit,BT30,3.5402,1.65,,
.06,haimer,shrink_fit,BT30,3.1496,1.063,,
.08,haimer,shrink_fit,BT30,3.1496,1.063,,
.10,haimer,shrink_fit,BT30,3.1496,1.2598,,
.12,haimer,shrink_fit,BT30,3.1496,1.2598,,
.14,haimer,shrink_fit,BT30,3.1496,1.3386,,
.16,haimer,shrink_fit,BT30,3.1496,1.3386,,
.18,haimer,shrink_fit,BT30,3.5433,1.5945,,
.20,haimer,shrink_fit,BT30,3.5433,1.5945,,
.1/8Z,haimer,shrink_fit,BT30,2.361,0.3902,,
.5/16Z.4,haimer,shrink_fit,BT30,2.3598,0.9098,,
.3/8Z.4,haimer,shrink_fit,BT30,2.3598,1.0598,,
.7/16Z.4 .,haimer,shrink_fit,BT30,2.3598,1.0598,,
1/2Z.4,haimer,shrink_fit,BT30,2.3598,1.0598,,
.5/8Z.4,haimer,shrink_fit,BT30,2.5598,1.1799,,
.3/4Z.4,haimer,shrink_fit,BT30,2.75,1.3902,,
.03.8,haimer,shrink_fit,BT30,4.7244,0.2362,,
.04.8,haimer,shrink_fit,BT30,4.7244,0.2756,,
.06.8,haimer,shrink_fit,BT30,4.7244,0.3543,,
.16.KKB,haimer,shrink_fit,BT30,1.378,1.4173,,
.22.KKB,haimer,shrink_fit,BT30,1.378,1.6535,,
.27.KKB,haimer,shrink_fit,BT30,1.378,1.6535,,
HAIMER-BT40-shrink_fit-3.17,haimer,shrink_fit,BT40,,0.3902,,
HAIMER-BT40-shrink_fit-4.76,haimer,shrink_fit,BT40,,0.3902,,
.5/8Z.4,haimer,shrink_fit,BT40,6.3,1.3402,,
.3/4Z.4,haimer,shrink_fit,BT40,6.3,1.65,,
.7/8Z.4,haimer,shrink_fit,BT40,6.3,1.65,,
.1Z.4,haimer,shrink_fit,BT40,6.3,2.0902,,
.5/8Z.47,haimer,shrink_fit,BT40,3.5421,1.3402,,
.3/4Z.47,haimer,shrink_fit,BT40,3.5421,1.65,,
.1Z.47,haimer,shrink_fit,BT40,3.9421,2.0902,,
.12,haimer,shrink_fit,BT40,7.874,1.2598,,
.14,haimer,shrink_fit,BT40,7.874,1.3386,,
.16,haimer,shrink_fit,BT40,7.874,1.3386,,
.18,haimer,shrink_fit,BT40,7.874,1.6535,,
.20,haimer,shrink_fit,BT40,7.874,1.6535,,
.25,haimer,shrink_fit,BT40,7.874,2.0866,,
HAIMER-BT40-shrink_fit-32.0,haimer,shrink_fit,BT40,,2.0866,,
.12.2,haimer,shrink_fit,BT40,3.5433,1.2598,,
.14.2,haimer,shrink_fit,BT40,3.5433,1.3386,,
.16.2,haimer,shrink_fit,BT40,3.5433,1.3386,,
.20.2,haimer,shrink_fit,BT40,3.5433,1.6535,,
.25.2,haimer,shrink_fit,BT40,3.937,2.0866,,
.16.7,haimer,shrink_fit,BT40,,1.3386,,
.18.7,haimer,shrink_fit,BT40,,1.6535,,
.20.7,haimer,shrink_fit,BT40,,1.6535,,
.25.7,haimer,shrink_fit,BT40,,2.0866,,
.1/4z.37,haimer,shrink_fit,BT40,2.7598,0.8701,,
7 .1/2z.37,haimer,shrink_fit,BT40,2.7598,1.0402,,
.5/8z.37,haimer,shrink_fit,BT40,2.95,1.1598,,
.3/4z.37,haimer,shrink_fit,BT40,2.95,1.3902,,
.1z.37,haimer,shrink_fit,BT40,3.35,1.7902,,
.06.3.06.37,haimer,shrink_fit,BT40,6.2992,1.9685,,
.08.3.08.37,haimer,shrink_fit,BT40,6.2992,1.9685,,
2.3 .14.32.37 .14.37,haimer,shrink_fit,BT40,6.2992,1.9685,,
.16.3.16.37,haimer,shrink_fit,BT40,6.2992,1.9685,,
.18.3.18.37,haimer,shrink_fit,BT40,6.2992,1.9685,,
.20.3.20.37,haimer,shrink_fit,BT40,6.2992,1.9685,,
.03.8,haimer,shrink_fit,BT40,7.874,0.3543,,
.04.8,haimer,shrink_fit,BT40,7.874,0.3937,,
.05.8,haimer,shrink_fit,BT40,7.874,0.4331,,
.06.8,haimer,shrink_fit,BT40,7.874,0.4724,,
.08.8,haimer,shrink_fit,BT40,7.874,0.5512,,
.10.8,haimer,shrink_fit,BT40,7.874,0.6299,,
HAIMER-BT40-shrink_fit-16.0,haimer,shrink_fit,BT40,0.0543,1.4173,,
.22.KKB,haimer,shrink_fit,BT40,0.0776,1.8898,,
.27.KKB,haimer,shrink_fit,BT40,0.0929,2.3228,,
HAIMER-BT40-shrink_fit-40.0,haimer,shrink_fit,BT40,,3.4252,,
.06,haimer,shrink_fit,BT50,7.874,1.063,,
.08,haimer,shrink_fit,BT50,7.874,1.063,,
.10,haimer,shrink_fit,BT50,7.874,1.2598,,
.12,haimer,shrink_fit,BT50,7.874,1.2598,,
.14,haimer,shrink_fit,BT50,7.874,1.3386,,
.16,haimer,shrink_fit,BT50,7.874,1.3386,,
.18,haimer,shrink_fit,BT50,7.874,1.6535,,
.20,haimer,shrink_fit,BT50,7.874,1.6535,,
.25,haimer,shrink_fit,BT50,7.874,2.0866,,
.32,haimer,shrink_fit,BT50,7.874,2.0866,,
.1/2z.3.1/2z.37,haimer,shrink_fit,BT50,3.9402,2.1701,,
.5/8z.3.5/8z.37,haimer,shrink_fit,BT50,3.9402,1.3098,,
.3/4z.3.3/4z.37,haimer,shrink_fit,BT50,3.9402,1.7598,,
.1z.3.1z.37,haimer,shrink_fit,BT50,3.9402,1.7598,,
12.37,haimer,shrink_fit,BT50,,0.2756,,
.40.6.40.67,haimer,shrink_fit,BT50,7.874,3.7008,,
.50.6.50.67,haimer,shrink_fit,BT50,7.874,3.7008,,
.22.KKB .,haimer,shrink_fit,BT50,3.937,1.8898,,
27.KKB,haimer,shrink_fit,BT50,3.937,2.3622,,
.32.KKB,haimer,shrink_fit,BT50,3.937,3.0709,,
HAIMER-BT50-shrink_fit-40.0,haimer,shrink_fit,BT50,,3.5039,,
.5/16Z.4,haimer,shrink_fit,BT30,2.3618,0.8299,,
.3/8Z.4,haimer,shrink_fit,BT30,2.3618,0.95,,
.7/16Z.4,haimer,shrink_fit,BT30,2.3618,0.95,,
.1/2Z.4,haimer,shrink_fit,BT30,2.3618,0.95,,
.5/8Z.4,haimer,shrink_fit,BT30,2.5618,1.0598,,
.3/4Z.4,haimer,shrink_fit,BT30,2.7618,1.5902,,
.03,haimer,shrink_fit,BT30,,0.3937,,
.04,haimer,shrink_fit,BT30,,0.3937,,
.05,haimer,shrink_fit,BT30,,0.3937,,
.06,haimer,shrink_fit,BT30,,1.063,,
.08,haimer,shrink_fit,BT30,,1.063,,
.10,haimer,shrink_fit,BT30,,1.2598,,
.12,haimer,shrink_fit,BT30,,1.2598,,
.14,haimer,shrink_fit,BT30,,1.3386,,
.16,haimer,shrink_fit,BT30,,1.3386,,
.20,haimer,shrink_fit,BT30,,1.5945,,
.1/4Z.4,haimer,shrink_fit,BT40,6.3,1.0598,,
.5/16Z.4,haimer,shrink_fit,BT40,6.3,1.0598,,
.3/8Z.4,haimer,shrink_fit,BT40,6.3,1.2598,,
.7/16Z.4,haimer,shrink_fit,BT40,6.3,1.2598,,
.1/2Z.4,haimer,shrink_fit,BT40,6.3,1.2598,,
HAIMER-BT40-shrink_fit-3.0,haimer,shrink_fit,BT40,,0.3937,,
.06,haimer,shrink_fit,BT40,,1.063,,
.08,haimer,shrink_fit,BT40,,1.063,,
.10,haimer,shrink_fit,BT40,,1.2598,,
.12,haimer,shrink_fit,BT40,,1.2598,,
.14,haimer,shrink_fit,BT40,,1.3386,,
––,haimer,shrink_fit,BT40,2.7598,0.8701,,
.04.8,haimer,shrink_fit,BT40,,0.3937,,
.05.8,haimer,shrink_fit,BT40,,0.4331,,
.1/4Z.4,haimer,shrink_fit,BT50,3.9402,1.0598,,
.5/16Z.,haimer,shrink_fit,BT50,3.9402,1.0598,,
4 .3/8Z.4,haimer,shrink_fit,BT50,3.9402,1.2598,,
––,haimer,shrink_fit,BT50,3.9402,2.1701,,
.1z.67,haimer,shrink_fit,BT50,4.1299,2.8402,,
.03,haimer,shrink_fit,SK30,,0.3937,,
.04,haimer,shrink_fit,SK30,,0.3937,,
.05,haimer,shrink_fit,SK30,,0.3937,,
.06,haimer,shrink_fit,SK30,,1.063,,
.08,haimer,shrink_fit,SK30,,1.063,,
.10,haimer,shrink_fit,SK30,,1.2598,,
.12,haimer,shrink_fit,SK30,,1.2598,,
.16,haimer,shrink_fit,SK30,,1.3386,,
.20,haimer,shrink_fit,SK30,,1.5945,,
.08,haimer,shrink_fit,SK40,,1.063,,
.10,haimer,shrink_fit,SK40,,1.2598,,
.12,haimer,shrink_fit,SK40,,1.2598,,
.14,haimer,shrink_fit,SK40,,1.3386,,
.16,haimer,shrink_fit,SK40,,1.3386,,
.18,haimer,shrink_fit,SK40,,1.6535,,
.20,haimer,shrink_fit,SK40,,1.6535,,
.25,haimer,shrink_fit,SK40,,2.0866,,
HAIMER-SK40-shrink_fit-32.0,haimer,shrink_fit,SK40,,2.0866,,
.03,haimer,shrink_fit,SK40,,0.3937,,
5 .06.2,haimer,shrink_fit,SK40,,1.063,,
.04.10,haimer,shrink_fit,SK40,,0.3543,,
.05.10,haimer,shrink_fit,SK40,,0.3543,,
.03,haimer,shrink_fit,SK40,4.7244,0.3543,,
.04,haimer,shrink_fit,SK40,4.7244,0.3937,,
.05,haimer,shrink_fit,SK40,4.7244,0.4331,,
.06,haimer,shrink_fit,SK40,4.7244,0.4724,,
.08,haimer,shrink_fit,SK40,4.7244,0.5512,,
.10,haimer,shrink_fit,SK40,4.7244,0.6299,,
.12,haimer,shrink_fit,SK40,4.7244,0.7087,,
.16,haimer,shrink_fit,SK40,4.7244,0.8661,,
.06,haimer,weldon,SK40,,0.9843,,
.08,haimer,weldon,SK40,,1.1024,,
.10,haimer,weldon,SK40,,1.378,,
.12,haimer,weldon,SK40,,1.6535,,
.14,haimer,weldon,SK40,,1.6535,,
.16,haimer,weldon,SK40,,1.8898,,
.18,haimer,weldon,SK40,,1.8898,,
.20,haimer,weldon,SK40,,2.0472,,
.25,haimer,weldon,SK40,,2.5591,,
HAIMER-SK40-weldon-32.0,haimer,weldon,SK40,,2.8346,,
22.KKB,haimer,weldon,SK40,,1.8898,,
.27.KKB,haimer,weldon,SK40,,2.3622,,
.40.6,haimer,shrink_fit,SK40,,3.7008,,
.50.6,haimer,shrink_fit,SK40,,3.7008,,
.06,haimer,weldon,SK50,,0.9843,,
.08 .,haimer,weldon,SK50,,1.1024,,
.14,haimer,weldon,SK50,,1.6535,,
.16,haimer,weldon,SK50,,1.8898,,
.18,haimer,weldon,SK50,,1.8898,,
.20,haimer,weldon,SK50,,2.0472,,
