material,isoGroup,chipThickness_h_mm,chipWidth_b_mm,Fc_N,kc11,mc
titanium,S,0.3,1,1068.7,2800,0.2
titanium,S,0.3,3,3206.1,2800,0.2
titanium,S,0.3,5,5343.5,2800,0.2
titanium,S,0.3,10,10687.0,2800,0.2
titanium,S,0.5,1,1608.2,2800,0.2
titanium,S,0.5,3,4824.5,2800,0.2
titanium,S,0.5,5,8040.9,2800,0.2
titanium,S,0.5,10,16081.8,2800,0.2
inconel,S,0.05,1,254.9,2800,0.2
inconel,S,0.05,3,764.6,2800,0.2
inconel,S,0.05,5,1274.4,2800,0.2
inconel,S,0.05,10,2548.8,2800,0.2
inconel,S,0.1,1,443.8,2800,0.2
inconel,S,0.1,3,1331.3,2800,0.2
inconel,S,0.1,5,2218.9,2800,0.2
inconel,S,0.1,10,4437.7,2800,0.2
inconel,S,0.15,1,613.8,2800,0.2
inconel,S,0.15,3,1841.4,2800,0.2
inconel,S,0.15,5,3069.0,2800,0.2
inconel,S,0.15,10,6138.1,2800,0.2
inconel,S,0.2,1,772.6,2800,0.2
inconel,S,0.2,3,2317.9,2800,0.2
inconel,S,0.2,5,3863.2,2800,0.2
inconel,S,0.2,10,7726.5,2800,0.2
inconel,S,0.3,1,1068.7,2800,0.2
inconel,S,0.3,3,3206.1,2800,0.2
inconel,S,0.3,5,5343.5,2800,0.2
inconel,S,0.3,10,10687.0,2800,0.2
inconel,S,0.5,1,1608.2,2800,0.2
inconel,S,0.5,3,4824.5,2800,0.2
inconel,S,0.5,5,8040.9,2800,0.2
inconel,S,0.5,10,16081.8,2800,0.2
aluminum,N,0.05,1,74.0,700,0.25
aluminum,N,0.05,3,222.0,700,0.25
aluminum,N,0.05,5,370.1,700,0.25
aluminum,N,0.05,10,740.2,700,0.25
aluminum,N,0.1,1,124.5,700,0.25
aluminum,N,0.1,3,373.4,700,0.25
aluminum,N,0.1,5,622.4,700,0.25
aluminum,N,0.1,10,1244.8,700,0.25
aluminum,N,0.15,1,168.7,700,0.25
aluminum,N,0.15,3,506.2,700,0.25
aluminum,N,0.15,5,843.6,700,0.25
aluminum,N,0.15,10,1687.2,700,0.25
aluminum,N,0.2,1,209.3,700,0.25
aluminum,N,0.2,3,628.0,700,0.25
aluminum,N,0.2,5,1046.7,700,0.25
aluminum,N,0.2,10,2093.5,700,0.25
aluminum,N,0.3,1,283.8,700,0.25
aluminum,N,0.3,3,851.3,700,0.25
aluminum,N,0.3,5,1418.8,700,0.25
aluminum,N,0.3,10,2837.5,700,0.25
aluminum,N,0.5,1,416.2,700,0.25
aluminum,N,0.5,3,1248.7,700,0.25
aluminum,N,0.5,5,2081.1,700,0.25
aluminum,N,0.5,10,4162.2,700,0.25
copper,N,0.05,1,74.0,700,0.25
copper,N,0.05,3,222.0,700,0.25
copper,N,0.05,5,370.1,700,0.25
copper,N,0.05,10,740.2,700,0.25
copper,N,0.1,1,124.5,700,0.25
copper,N,0.1,3,373.4,700,0.25
copper,N,0.1,5,622.4,700,0.25
copper,N,0.1,10,1244.8,700,0.25
copper,N,0.15,1,168.7,700,0.25
copper,N,0.15,3,506.2,700,0.25
copper,N,0.15,5,843.6,700,0.25
copper,N,0.15,10,1687.2,700,0.25
copper,N,0.2,1,209.3,700,0.25
copper,N,0.2,3,628.0,700,0.25
copper,N,0.2,5,1046.7,700,0.25
copper,N,0.2,10,2093.5,700,0.25
copper,N,0.3,1,283.8,700,0.25
copper,N,0.3,3,851.3,700,0.25
copper,N,0.3,5,1418.8,700,0.25
copper,N,0.3,10,2837.5,700,0.25
copper,N,0.5,1,416.2,700,0.25
copper,N,0.5,3,1248.7,700,0.25
copper,N,0.5,5,2081.1,700,0.25
copper,N,0.5,10,4162.2,700,0.25
brass,N,0.05,1,74.0,700,0.25
brass,N,0.05,3,222.0,700,0.25
brass,N,0.05,5,370.1,700,0.25
brass,N,0.05,10,740.2,700,0.25
brass,N,0.1,1,124.5,700,0.25
brass,N,0.1,3,373.4,700,0.25
brass,N,0.1,5,622.4,700,0.25
brass,N,0.1,10,1244.8,700,0.25
brass,N,0.15,1,168.7,700,0.25
brass,N,0.15,3,506.2,700,0.25
brass,N,0.15,5,843.6,700,0.25
brass,N,0.15,10,1687.2,700,0.25
brass,N,0.2,1,209.3,700,0.25
brass,N,0.2,3,628.0,700,0.25
brass,N,0.2,5,1046.7,700,0.25
brass,N,0.2,10,2093.5,700,0.25
brass,N,0.3,1,283.8,700,0.25
brass,N,0.3,3,851.3,700,0.25
brass,N,0.3,5,1418.8,700,0.25
brass,N,0.3,10,2837.5,700,0.25
brass,N,0.5,1,416.2,700,0.25
brass,N,0.5,3,1248.7,700,0.25
brass,N,0.5,5,2081.1,700,0.25
brass,N,0.5,10,4162.2,700,0.25
plastic,N,0.05,1,74.0,700,0.25
plastic,N,0.05,3,222.0,700,0.25
plastic,N,0.05,5,370.1,700,0.25
plastic,N,0.05,10,740.2,700,0.25
plastic,N,0.1,1,124.5,700,0.25
plastic,N,0.1,3,373.4,700,0.25
plastic,N,0.1,5,622.4,700,0.25
plastic,N,0.1,10,1244.8,700,0.25
plastic,N,0.15,1,168.7,700,0.25
plastic,N,0.15,3,506.2,700,0.25
plastic,N,0.15,5,843.6,700,0.25
plastic,N,0.15,10,1687.2,700,0.25
plastic,N,0.2,1,209.3,700,0.25
plastic,N,0.2,3,628.0,700,0.25
plastic,N,0.2,5,1046.7,700,0.25
plastic,N,0.2,10,2093.5,700,0.25
plastic,N,0.3,1,283.8,700,0.25
plastic,N,0.3,3,851.3,700,0.25
plastic,N,0.3,5,1418.8,700,0.25
plastic,N,0.3,10,2837.5,700,0.25
plastic,N,0.5,1,416.2,700,0.25
plastic,N,0.5,3,1248.7,700,0.25
plastic,N,0.5,5,2081.1,700,0.25
plastic,N,0.5,10,4162.2,700,0.25
composite,N,0.05,1,74.0,700,0.25
composite,N,0.05,3,222.0,700,0.25
composite,N,0.05,5,370.1,700,0.25
composite,N,0.05,10,740.2,700,0.25
composite,N,0.1,1,124.5,700,0.25
composite,N,0.1,3,373.4,700,0.25
composite,N,0.1,5,622.4,700,0.25
composite,N,0.1,10,1244.8,700,0.25
composite,N,0.15,1,168.7,700,0.25
composite,N,0.15,3,506.2,700,0.25
composite,N,0.15,5,843.6,700,0.25
composite,N,0.15,10,1687.2,700,0.25
composite,N,0.2,1,209.3,700,0.25
composite,N,0.2,3,628.0,700,0.25
composite,N,0.2,5,1046.7,700,0.25
composite,N,0.2,10,2093.5,700,0.25
composite,N,0.3,1,283.8,700,0.25
composite,N,0.3,3,851.3,700,0.25
composite,N,0.3,5,1418.8,700,0.25
composite,N,0.3,10,2837.5,700,0.25
composite,N,0.5,1,416.2,700,0.25
composite,N,0.5,3,1248.7,700,0.25
composite,N,0.5,5,2081.1,700,0.25
composite,N,0.5,10,4162.2,700,0.25
