brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
HAIMER,ER,.11.71),PSC,16,16,,160.02,25.4,haimer-holder-catalog
HAIMER,ER,.16.71),PSC,22.1,22.1,,160.02,39.62,haimer-holder-catalog
