tool_id,brand,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,fz_in,feed_ipm,ap_in,ae_in,coolant,css,hb_min,hb_max,flute_source,source_file
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,4140/4340 Alloy (P),P,Peck,drilling,roughing,plunge,0.006,2,185,118400,0.0004,83.91,0,0.0059,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Rough,milling,roughing,conventional,0.007,4,459,250356,0.001,1025.08,0.007,0.0028,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,HEM Adaptive,milling,roughing,adaptive,0.007,4,643,350499,0.0012,1722.14,0.014,0.0007,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Trochoidal,milling,roughing,trochoidal,0.007,4,689,375534,0.0013,1998.91,0.0175,0.0006,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Slot,milling,roughing,slot,0.007,4,367,200285,0.0009,738.06,0.0035,0.007,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Ramp,milling,roughing,plunge,0.007,4,322,175249,0.0005,358.78,0.007,0.0028,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Semi,milling,semi_finishing,conventional,0.007,4,509,277180,0.0008,873.01,0.007,0.0035,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Finish,milling,finishing,conventional,0.007,4,558,304004,0.0006,765.99,0.007,0.0051,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,HSM,milling,finishing,hsm,0.007,4,725,395205,0.0006,995.79,0.0011,0.0035,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1045 Steel (P),P,Rough,milling,roughing,conventional,0.007,4,389,211840,0.001,867.38,0.007,0.0028,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1045 Steel (P),P,HEM Adaptive,milling,roughing,adaptive,0.007,4,544,296576,0.0012,1457.19,0.014,0.0007,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1045 Steel (P),P,Trochoidal,milling,roughing,trochoidal,0.007,4,583,317760,0.0013,1691.38,0.0175,0.0006,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1045 Steel (P),P,Slot,milling,roughing,slot,0.007,4,311,169472,0.0009,624.51,0.0035,0.007,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1045 Steel (P),P,Ramp,milling,roughing,plunge,0.007,4,272,148288,0.0005,303.58,0.007,0.0028,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1045 Steel (P),P,Semi,milling,semi_finishing,conventional,0.007,4,430,234537,0.0008,738.7,0.007,0.0035,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1045 Steel (P),P,Finish,milling,finishing,conventional,0.007,4,472,257234,0.0006,648.15,0.007,0.0051,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1045 Steel (P),P,HSM,milling,finishing,hsm,0.007,4,614,334404,0.0006,842.59,0.0011,0.0035,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,4140/4340 Alloy (P),P,Rough,milling,roughing,conventional,0.007,4,353,192582,0.001,788.52,0.007,0.0028,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,4140/4340 Alloy (P),P,HEM Adaptive,milling,roughing,adaptive,0.007,4,495,269614,0.0012,1324.72,0.014,0.0007,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,4140/4340 Alloy (P),P,Trochoidal,milling,roughing,trochoidal,0.007,4,530,288872,0.0013,1537.62,0.0175,0.0006,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,4140/4340 Alloy (P),P,Slot,milling,roughing,slot,0.007,4,283,154065,0.0009,567.74,0.0035,0.007,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,4140/4340 Alloy (P),P,Ramp,milling,roughing,plunge,0.007,4,247,134807,0.0005,275.98,0.007,0.0028,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,4140/4340 Alloy (P),P,Semi,milling,semi_finishing,conventional,0.007,4,391,213215,0.0008,671.54,0.007,0.0035,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,4140/4340 Alloy (P),P,Finish,milling,finishing,conventional,0.007,4,429,233849,0.0006,589.23,0.007,0.0051,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,4140/4340 Alloy (P),P,HSM,milling,finishing,hsm,0.007,4,558,304004,0.0006,765.99,0.0011,0.0035,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1018 Steel (P),P,Rough,milling,roughing,conventional,0.007,4,459,250356,0.001,1025.08,0.007,0.0028,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1018 Steel (P),P,HEM Adaptive,milling,roughing,adaptive,0.007,4,643,350499,0.0012,1722.14,0.014,0.0007,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1018 Steel (P),P,Trochoidal,milling,roughing,trochoidal,0.007,4,689,375534,0.0013,1998.91,0.0175,0.0006,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1018 Steel (P),P,Slot,milling,roughing,slot,0.007,4,367,200285,0.0009,738.06,0.0035,0.007,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1018 Steel (P),P,Ramp,milling,roughing,plunge,0.007,4,322,175249,0.0005,358.78,0.007,0.0028,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1018 Steel (P),P,Semi,milling,semi_finishing,conventional,0.007,4,509,277180,0.0008,873.01,0.007,0.0035,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1018 Steel (P),P,Finish,milling,finishing,conventional,0.007,4,558,304004,0.0006,765.99,0.007,0.0051,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1018 Steel (P),P,HSM,milling,finishing,hsm,0.007,4,725,395205,0.0006,995.79,0.0011,0.0035,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070-end_mill,Accupro,end_mill,1045 Steel (P),P,Rough,milling,roughing,conventional,0.007,4,389,211840,0.001,867.38,0.007,0.0028,flood,0,170,260,record,Accupro_catalog
